70,age,20
72,age,30
75,age,30
77,age,30
79,age,20
80,age,20
82,age,40
85,age,30
87,age,20
95,age,20
101,age,20
103,age,30
107,age,40
109,age,30
110,age,30
112,age,30
2734,age,30
2736,age,20
2739,age,20
4622,age,30
4624,age,20
4626,age,20
4629,age,20
5239,age,30
5243,age,60
5249,age,20
5250,age,30
5254,age,30
5255,age,30
5257,age,40
5392,age,20
5399,age,30
5401,age,30
5408,age,30
5409,age,20
5411,age,60
5416,age,30
5419,age,20
5426,age,40
5434,age,30
5971,age,30
120,age,30
218,age,30
225,age,20
344,age,20
354,age,20
400,age,20
499,age,20
506,age,30
508,age,20
542,age,30
543,age,40
549,age,20
558,age,20
571,age,20
612,age,20
616,age,20
624,age,20
672,age,40
689,age,20
692,age,20
697,age,20
747,age,20
749,age,20
764,age,20
787,age,50
803,age,30
804,age,30
823,age,20
830,age,20
849,age,20
900,age,20
906,age,20
910,age,20
921,age,20
958,age,30
972,age,20
981,age,30
1097,age,20
1121,age,20
1134,age,30
1146,age,30
1159,age,20
1170,age,20
1195,age,20
1215,age,20
1222,age,20
1288,age,20
1301,age,20
1310,age,30
1326,age,20
1367,age,20
1392,age,20
1422,age,20
1468,age,20
1479,age,20
1492,age,20
1520,age,20
1538,age,30
1575,age,20
1594,age,20
1671,age,20
1686,age,20
1703,age,20
1757,age,30
1764,age,30
1787,age,20
1803,age,20
1845,age,20
1859,age,20
1860,age,20
1950,age,20
1964,age,20
1979,age,20
1988,age,20
2003,age,20
2082,age,20
2098,age,20
2116,age,20
2144,age,20
2226,age,20
2291,age,20
2327,age,20
2355,age,20
2357,age,20
2379,age,20
2382,age,20
2404,age,20
2424,age,20
2436,age,20
2440,age,20
2458,age,20
2463,age,20
2464,age,20
2501,age,40
2546,age,20
2557,age,20
2572,age,30
2581,age,20
2593,age,20
2608,age,20
2623,age,20
2640,age,20
2679,age,20
2719,age,20
2766,age,20
2794,age,30
2795,age,20
2815,age,30
2816,age,20
2819,age,20
2837,age,20
2841,age,20
2925,age,20
2932,age,20
2949,age,20
2951,age,20
2971,age,20
3025,age,20
3040,age,50
3063,age,20
3074,age,20
3106,age,20
3120,age,30
3146,age,20
3157,age,20
3161,age,20
3165,age,20
3169,age,40
3193,age,20
3215,age,30
3252,age,50
3270,age,20
3284,age,30
3285,age,20
3297,age,50
3314,age,30
3375,age,50
3386,age,40
3387,age,30
3395,age,30
3423,age,20
3448,age,30
3476,age,20
3563,age,20
3583,age,20
3602,age,30
3655,age,20
3679,age,20
3739,age,20
3760,age,20
3829,age,20
3846,age,30
3972,age,20
4034,age,20
4067,age,20
4076,age,30
4080,age,20
4090,age,20
4122,age,20
4132,age,30
4151,age,20
4153,age,20
4212,age,20
4217,age,20
4224,age,20
4229,age,20
4251,age,20
4256,age,20
4270,age,30
